source,zip,region,district,city,street,house,building,office,note
"107140, г. Москва, а/я 19",107140,,,г. Москва,,,а/я 19,,
"107140, г. Москва, ул. Краснопрудная, д. 22-А, оф 15",107140,,,г. Москва,ул. Краснопрудная,д. 22-А,,оф 15,
"111111,  Алтай , г. Горно-Алтайск, 1-ый Рижский пер., дом 6 стр. 6, Павильон 14А, 15 минут пешком",111111,,,г. Горно-Алтайск,1-ый Рижский пер.,дом 6 стр. 6,,Павильон 14А,"Алтай, 15 минут пешком"
"111111,  Алтай , г. Горно-Алтайск, 1-ый Рижский пер., дом 6 стр. 6, кв 14, Павильон ""Восток"", 15 минут пешком",111111,,,г. Горно-Алтайск,1-ый Рижский пер.,дом 6 стр. 6,,кв 14,"Алтай, Павильон ""Восток"", 15 минут пешком"
"111111, республика  Алтай , г. Горно-Алтайск, 1-ый Рижский пер., дом 6, стр. 6 оф 18",111111,республика  Алтай,,г. Горно-Алтайск,1-ый Рижский пер.,дом 6,стр. 6 оф 18,,
"111111, г. Горно-Алтайск, 1-ый Рижский пер., дом 6 стр. 6 оф. 14",111111,,,г. Горно-Алтайск,1-ый Рижский пер.,дом 6 стр. 6 оф. 14,,,
"111111, Горно-Алтайск, 1-ый Рижский пер., дом 6, стр. 6",111111,,,,,,,,"Горно-Алтайск, 1-ый Рижский пер., дом 6, стр. 6"
"222222, Корякский АО, Петропавловск-Камчатский, 1-ый Рижский пер., влад.3, стр. 6, оф.12",222222,Корякский АО,,,1-ый Рижский пер.,,"влад.3, стр. 6",оф.12,Петропавловск-Камчатский
"222222, Корякский автономный округ, Петропавловск-Камчатский, 1-ый Рижский пер., дом 6, стр. 6",222222,Корякский автономный округ,,,1-ый Рижский пер.,дом 6,стр. 6,,Петропавловск-Камчатский
"222222, Корякский, Петропавловск-Камчатский, 1-ый Рижский пер., дом 6, стр. 6",222222,,,,,,,,"Корякский, Петропавловск-Камчатский, 1-ый Рижский пер., дом 6, стр. 6"
"222222, Петропавловск-Камчатский, 1-ый Рижский пер., дом 6, стр. 6",222222,,,,,,,,"Петропавловск-Камчатский, 1-ый Рижский пер., дом 6, стр. 6"
"г. Москва, ул. Краснопрудная, д. 22-А",,,,г. Москва,ул. Краснопрудная,д. 22-А,,,
"603074, г. Нижний Новгород, ул. Шаляпина, 2 а",603074,,,г. Нижний Новгород,ул. Шаляпина,2 а,,,
"г. Нижний Новгород, ул. Шаляпина, 2 а",,,,г. Нижний Новгород,ул. Шаляпина,2 а,,,
"129626, Россия, г. Москва, 1-ый Рижский пер., дом 6, стр. 6",129626,,,г. Москва,1-ый Рижский пер.,дом 6,стр. 6,,Россия
"391539, Рязанская обл., Шиловский р-он, п. Лесной",391539,Рязанская обл.,Шиловский р-он,п. Лесной,,,,,
"384000, г. Cочи, ул. Цв.Бульвар, 21-22",384000,,,г. Cочи,ул. Цв.Бульвар,21-22,,,
"420029, Республика Татарстан, г. Казань, ул. Журналистов, д. 6",420029,Республика Татарстан,,г. Казань,ул. Журналистов,д. 6,,,
"420061, г. Казань, а/я 3",420061,,,г. Казань,,,а/я 3,,
"416154, Астраханская обл., Красноярский р-н, п. Аксарайский",416154,Астраханская обл.,Красноярский р-н,п. Аксарайский,,,,,
"119991, ГСП-1, Москва, Ленинский пр-т., 65",119991,,,,,,,,"ГСП-1, Москва, Ленинский пр-т., 65"
" , г. Cочи, ул. Цв.Бульвар, 21-22",,,,г. Cочи,ул. Цв.Бульвар,21-22,,,
" , Астраханская обл., Красноярский р-н, п. Аксарайский",,Астраханская обл.,Красноярский р-н,п. Аксарайский,,,,,
" , Россия, г. Москва, 1-ый Рижский пер., дом 6, стр. 6",,,,г. Москва,1-ый Рижский пер.,дом 6,стр. 6,,Россия
"129626,  , г. Москва, 1-ый Рижский пер., дом 6, стр. 6",129626,,,г. Москва,1-ый Рижский пер.,дом 6,стр. 6,,